# FinCEN Section 311 / 9714 special-measure details, hand-mined from the
# rulemaking documents linked in the fincen.gov overview table. One row per
# (measure, entity) fact. Joined by sdn_monitor.fetch_fincen311() on `measure`
# (the measure's slug). relationship: self = a fact about the measure's main
# entity; target/subsidiary/owner/related = a further named party, emitted as
# its own screening row. notes quotes the source document; every row cites
# source_url. mined_date (self rows only) = the date of the document these
# facts were read from; sdn_monitor flags a measure for re-mining when the
# FinCEN table shows a newer rule than this. Edit as a PR checked against
# the cited document; bump mined_date when you re-mine.
measure,relationship,type,name,alias,country,address,notes,source_url,mined_date
al-huda-bank,self,,Al-Huda Bank,,Iraq,"Baghdad, Iraq","FinCEN: ""Al-Huda Bank is a private commercial bank registered and headquartered in Baghdad, Iraq, with five branch locations in Baghdad, Karbala, and Nasiriyah, Iraq."" ""Since its establishment, Al-Huda Bank has been controlled and operated by the IRGC and IRGC-QF."" Order covers ""all subsidiaries, branches, and offices of Al-Huda Bank operating as a bank in any jurisdiction.""",https://www.federalregister.gov/documents/2024/07/03/2024-14415,2024-07-03
bank-of-dandong,self,,Bank of Dandong,,China,"Dandong, China","FinCEN: ""Established in 1997, Bank of Dandong is a small commercial bank located in Dandong, China."" Rule covers ""the branches, offices, and subsidiaries of Bank of Dandong""; FinCEN declined to publish a fixed list of them.",https://www.fincen.gov/system/files/federal_register_notices/2017-11-08/Dandong%20Final%202017-24238.pdf,2017-11-08
banque-misr-uae,self,,Banque Misr UAE,Banque Du Caire,United Arab Emirates,"Dubai (Deira); Dubai (Business Bay); Abu Dhabi; Sharjah; Ras Al Khaimah, UAE","FinCEN: ""Banque Misr UAE consists of five UAE-based branches of the Arab Republic of Egypt (Egypt)-based state-owned commercial bank, Banque Misr."" The term ""means all subsidiaries, branches, and offices of Banque Misr in the UAE ... This includes the two branches in Dubai (located in Deira and Business Bay), one in Abu Dhabi, one in Sharjah, and one in Ras Al Khaimah."" UAE branches operated as ""Banque Du Caire"" until July 2007. Egypt-based Banque Misr and its non-UAE operations are expressly excluded.",https://www.federalregister.gov/d/2026-17871,2026-09-01
bitzlato,self,,Bitzlato Limited,Bitzlato; ChangeBot,Hong Kong,,"FinCEN: ""Bitzlato Limited (Bitzlato), a virtual asset service provider (VASP) incorporated in the Hong Kong Special Administrative Region of the People’s Republic of China (Hong Kong)"". Order defines Bitzlato as ""a CVC exchanger registered in Hong Kong and previously known as ChangeBot, to mean all subsidiaries, branches, and offices of Bitzlato operating in any jurisdiction, as well as any successor entity."" Blockchain analysis identified Bitzlato ""as having a presence in Moscow City, Russia"".",https://www.federalregister.gov/documents/2023/01/23/2023-01189,2023-01-23
cibanco-s-a-institution-de-banca-multiple,self,,"CIBanco S.A., Institucion de Banca Multiple",CIBanco,Mexico,"Mexico City, Mexico","FinCEN: ""CIBanco is headquartered in Mexico City, Mexico, and as of 2024 had over 200 known branches in Mexico and was the majority owner of two non-depository finance companies: Finanmadrid Mexico, S.A. de C.V. and CI Fondos S.A. de C.V."" Order covers CIBanco ""to include its branches, subsidiaries, and offices located in Mexico""; those outside Mexico are excluded.",https://www.federalregister.gov/d/2025-11993,2025-06-30
cibanco-s-a-institution-de-banca-multiple,subsidiary,company,"Finanmadrid Mexico, S.A. de C.V.",,Mexico,,"Non-depository finance company majority-owned by CIBanco; within the order’s coverage of CIBanco subsidiaries located in Mexico. FinCEN: CIBanco ""was the majority owner of two non-depository finance companies: Finanmadrid Mexico, S.A. de C.V. and CI Fondos S.A. de C.V.""",https://www.federalregister.gov/d/2025-11993,
cibanco-s-a-institution-de-banca-multiple,subsidiary,company,CI Fondos S.A. de C.V.,,Mexico,,Non-depository finance company majority-owned by CIBanco; within the order’s coverage of CIBanco subsidiaries located in Mexico.,https://www.federalregister.gov/d/2025-11993,
commercial-bank-of-syria,self,,Commercial Bank of Syria,,Syria,"Damascus, Syria","FinCEN: ""Commercial Bank of Syria is based in [Damascus] ... approximately 50 branches ... All of the branches are located in Syria. It was established in Syria in 1967 as the single, government-owned bank specializing in servicing foreign trade and commercial banking."" Measure covers ""all branches, offices, and subsidiaries of Commercial Bank of Syria ... in any jurisdiction.""",https://www.fincen.gov/system/files/shared/noticeoffinalrule03152006.pdf,2006-03-09
commercial-bank-of-syria,target,company,Syrian Lebanese Commercial Bank,,Lebanon,"Beirut, Lebanon","FinCEN: ""Commercial Bank of Syria ... [has a] subsidiary, Syrian Lebanese Commercial Bank, located in Beirut, Lebanon."" Named in the table as included in the measure. ""Syrian Lebanese Commercial Bank has two branches in Beirut and two representative offices, one in Aleppo and another in Damascus, Syria.""",https://www.fincen.gov/system/files/shared/noticeoffinalrule03152006.pdf,
fbme-bank-ltd,self,,FBME Bank Ltd.,Federal Bank of the Middle East Ltd.,Tanzania,"Dar es Salaam, Tanzania (headquarters); main branch in Nicosia, Cyprus","FinCEN: ""established in 1982 in Cyprus as the Federal Bank of the Middle East Ltd. ... In 1986, FBME changed its country of incorporation to the Cayman Islands ... In 2003, FBME left the Cayman Islands and incorporated and established its headquarters in Tanzania ... In 2005, FBME changed its name from the Federal Bank of the Middle East Ltd. to FBME Bank Ltd."" FBME ""is presently headquartered in Tanzania"" and operates substantially through ""its Cyprus branch.""",https://www.fincen.gov/system/files/shared/FBME_FR_20160325.pdf,2016-03-31
